x,wpdf,fpdf,supdf,sppdf
-0.25,0,0,0,0
-0.24867486748674866,0,0,0,0
-0.24734973497349735,0,0,0,0
-0.24602460246024602,0,0,0,0
-0.2446994699469947,0,0,0,0
-0.24337433743374337,0,0,0,0
-0.24204920492049206,0,0,0,0
-0.24072407240724072,0,0,0,0
-0.2393989398939894,0,0,0,0
-0.23807380738073808,0,0,0,0
-0.23674867486748674,0,0,0,0
-0.23542354235423543,0,0,0,0
-0.2340984098409841,0,0,0,0
-0.23277327732773279,0,0,0,0
-0.23144814481448145,0,0,0,0
-0.2301230123012301,0,0,0,0
-0.2287978797879788,0,0,0,0
-0.22747274727472747,0,0,0,0
-0.22614761476147616,0,0,0,0
-0.22482248224822482,0,0,0,0
-0.2234973497349735,0,0,0,0
-0.22217221722172217,0,0,0,0
-0.22084708470847086,0,0,0,0
-0.21952195219521953,0,0,0,0
-0.2181968196819682,0,0,0,0
-0.21687168716871688,0,0,0,0
-0.21554655465546554,0,0,0,0
-0.21422142214221424,0,0,0,0
-0.2128962896289629,0,0,0,0
-0.21157115711571156,0,0,0,0
-0.21024602460246025,0,0,0,0
-0.20892089208920891,0,0,0,0
-0.2075957595759576,0,0,0,0
-0.20627062706270627,0,0,0,0
-0.20494549454945493,0,0,0,0
-0.20362036203620362,0,0,0,0
-0.2022952295229523,0,0,0,0
-0.20097009700970098,0,0,0,0
-0.19964496449644964,0,0,0,0
-0.19831983198319833,0,0,0,0
-0.196994699469947,0,0,0,0
-0.19566956695669568,0,0,0,0
-0.19434443444344435,0,0,0,0
-0.193019301930193,0,0,0,0
-0.1916941694169417,0,0,0,0
-0.19036903690369036,0,0,0,0
-0.18904390439043905,0,0,0,0
-0.18771877187718772,0,0,0,0
-0.18639363936393638,0,0,0,0
-0.18506850685068507,0,0,0,0
-0.18374337433743376,0,0,0,0
-0.18241824182418243,0,0,0,0
-0.1810931093109311,0,0,0,0
-0.17976797679767978,0,0,0,0
-0.17844284428442844,0,0,0,0
-0.17711771177117713,0,0,0,0
-0.1757925792579258,0,0,0,0
-0.17446744674467446,0,0,0,0
-0.17314231423142315,0,0,0,0
-0.17181718171817184,0,0,0,0
-0.1704920492049205,0,0,0,0
-0.16916691669166917,0,0,0,0
-0.16784178417841783,0,0,0,0
-0.16651665166516652,0,0,0,0
-0.1651915191519152,0,0,0,0
-0.16386638663866387,0,0,0,0
-0.16254125412541254,0,0,0,0
-0.16121612161216123,0,0,0,0
-0.1598909890989099,0,0,0,0
-0.15856585658565858,0,0,0,0
-0.15724072407240725,0,0,0,0
-0.1559155915591559,0,0,0,0
-0.1545904590459046,0,0,0,0
-0.1532653265326533,0,0,0,0
-0.15194019401940195,0,0,0,0
-0.15061506150615062,0,0,0,0
-0.14928992899289928,0,0,0,0
-0.14796479647964797,0,0,0,0
-0.14663966396639666,0,0,0,0
-0.14531453145314532,0,0,0,0
-0.143989398939894,0,0,0,0
-0.14266426642664268,0,0,0,0
-0.14133913391339134,0,0,0,0
-0.14001400140014003,0,0,0,0
-0.1386888688868887,0,0,0,0
-0.13736373637363736,0,0,0,0
-0.13603860386038605,0,0,0,0
-0.13471347134713474,0,0,0,0
-0.1333883388338834,0,0,0,0
-0.13206320632063206,0,0,0,0
-0.13073807380738073,0,0,0,0
-0.12941294129412942,0,0,0,0
-0.1280878087808781,0,0,0,0
-0.12676267626762677,0,0,0,0
-0.12543754375437544,0,0,0,0
-0.12411241124112413,0,0,0,0
-0.12278727872787279,0,0,0,0
-0.12146214621462148,0,0,0,0
-0.12013701370137014,0,0,0,0
-0.11881188118811883,0,0,0,0
-0.1174867486748675,0,0,0,0
-0.11616161616161616,0,0,0,0
-0.11483648364836485,0,0,0,0
-0.11351135113511351,0,0,0,0
-0.1121862186218622,0,0,0,0
-0.11086108610861087,0,0,0,0
-0.10953595359535956,0,0,0,0
-0.10821082108210822,0,0,0,0
-0.10688568856885688,0,0,0,0
-0.10556055605560558,0,0,0,0
-0.10423542354235424,0,0,0,0
-0.10291029102910293,0,0,0,0
-0.10158515851585159,0,0,0,0
-0.10026002600260028,0,0,0,0
-0.09893489348934895,0,0,0,0
-0.09760976097609761,0,0,0,0
-0.0962846284628463,0,0,0,0
-0.09495949594959496,0,0,0,0
-0.09363436343634365,0,0,0,0
-0.09230923092309232,0,0,0,0
-0.09098409840984101,0,0,0,0
-0.08965896589658967,0,0,0,0
-0.08833383338333833,0,0,0,0
-0.08700870087008702,0,0,0,0
-0.08568356835683569,0,0,0,0
-0.08435843584358438,0,0,0,0
-0.08303330333033304,0,0,0,0
-0.08170817081708173,0,0,0,0
-0.0803830383038304,0,0,0,0
-0.07905790579057906,0,0,0,0
-0.07773277327732775,0,0,0,0
-0.07640764076407641,0,0,0,0
-0.0750825082508251,0,0,0,0
-0.07375737573757377,0,0,0,0
-0.07243224322432246,0,0,0,0
-0.07110711071107112,0,0,0,0
-0.06978197819781978,0,0,0,0
-0.06845684568456847,0,0,0,0
-0.06713171317131714,0,0,0,0
-0.06580658065806583,0,0,0,0
-0.06448144814481449,0,0,0,0
-0.06315631563156318,0,0,0,0
-0.061831183118311844,0,0,0,0
-0.06050605060506051,0,0,0,0
-0.0591809180918092,0,0,0,0
-0.05785578557855786,0,0,0,0
-0.05653065306530655,0,0,0,0
-0.055205520552055215,0,0,0,0
-0.053880388038803906,0,0,0,0
-0.05255525552555257,0,0,0,0
-0.05123012301230123,0,0,0,0
